"","prediction","d.CMS1","d.CMS2","d.CMS3","d.CMS4","p.value","FDR"
"GSM972152","CMS2",0.798891016630732,0.607139402101824,0.717471415364202,0.808739287763446,0.001,0.00128054298642534
"GSM972153","CMS2",0.775947285990126,0.652401441635871,0.728329659601345,0.729425687297764,0.001,0.00128054298642534
"GSM972154",NA,0.7257058866331,0.690918039065627,0.70493288626275,0.78808204958669,0.0759240759240759,0.0831199748027601
"GSM972155","CMS3",0.759954469226467,0.67271966432495,0.640940443216263,0.770052510248554,0.001,0.00128054298642534
"GSM972156","CMS2",0.799451228107655,0.620907602736129,0.66880846266114,0.709565058832862,0.001,0.00128054298642534
"GSM972157","CMS4",0.774420107154373,0.67634252972334,0.745889642447798,0.600385606348785,0.001,0.00128054298642534
"GSM972158","CMS4",0.624334845719562,0.745735296624707,0.767365194110304,0.52329804772515,0.001,0.00128054298642534
"GSM972159","CMS3",0.663644763549002,0.755196317058016,0.580213929808557,0.774647646032279,0.001,0.00128054298642534
"GSM972160","CMS4",0.767091503902504,0.64850948496741,0.789362601432812,0.638971966191106,0.001,0.00128054298642534
"GSM972161",NA,0.72494150957212,0.720601489486181,0.701947725166658,0.765926966827591,0.996003996003996,1
"GSM972162","CMS4",0.683511472856529,0.721160236111478,0.754017962909196,0.532300868603579,0.001,0.00128054298642534
"GSM972163","CMS3",0.743340657589954,0.714197767930551,0.628813874939238,0.72439496154069,0.001,0.00128054298642534
"GSM972164","CMS4",0.773146012926427,0.640115638241639,0.775770971804892,0.550541687604592,0.001,0.00128054298642534
"GSM972165","CMS4",0.716623078106837,0.687832840346391,0.678478686685868,0.489111995208257,0.001,0.00128054298642534
"GSM972166","CMS3",0.786235635314671,0.648480979553404,0.628146189946976,0.676679392520992,0.001,0.00128054298642534
"GSM972167","CMS2",0.808836684799587,0.638914896449452,0.755676598419556,0.740303509110937,0.001,0.00128054298642534
"GSM972168","CMS1",0.558263492524697,0.826149089994021,0.629549890835484,0.678343847947203,0.001,0.00128054298642534
"GSM972169","CMS2",0.802928568032032,0.600433154457888,0.708799750966498,0.775885152938248,0.001,0.00128054298642534
"GSM972170","CMS4",0.750746520934594,0.679987921329253,0.798084778637036,0.556293292147798,0.001,0.00128054298642534
"GSM972171","CMS1",0.544132594195221,0.800003797559983,0.774302408479566,0.590255598842834,0.001,0.00128054298642534
"GSM972172",NA,0.657761100623591,0.713070130341357,0.736238326788385,0.761144271705799,0.95004995004995,0.967137179367395
"GSM972173",NA,0.74891612747836,0.662873640187872,0.72979517099966,0.665604692455305,0.933066933066933,0.951560151560152
"GSM972174","CMS2",0.729012019274613,0.621609115702899,0.66199878578652,0.722773688410457,0.001,0.00128054298642534
"GSM972175",NA,0.740267560352917,0.657701219157252,0.730203147164619,0.685994864397882,0.923076923076923,0.943071369064149
"GSM972176","CMS4",0.660305235728066,0.685825668169226,0.725682532495505,0.504400997021923,0.001,0.00128054298642534
"GSM972177","CMS2",0.760068895944236,0.632773092041537,0.668861473530679,0.680974266226898,0.025974025974026,0.0295800778698163
"GSM972178","CMS3",0.724559581904003,0.691949720086358,0.558757718537602,0.783831726077088,0.001,0.00128054298642534
"GSM972179","CMS4",0.68998619366402,0.645249981360104,0.774101282984439,0.527324714444796,0.001,0.00128054298642534
"GSM972180","CMS1",0.578415080708332,0.808131519683014,0.798602318484026,0.747476235938392,0.001,0.00128054298642534
"GSM972181","CMS4",0.655265914157001,0.75289076713487,0.751761979919676,0.388325010748002,0.001,0.00128054298642534
"GSM972182",NA,0.725875196765277,0.638500578705707,0.695735630346873,0.713906147172459,0.151848151848152,0.162776617322072
"GSM972183","CMS3",0.695042016590024,0.751848499814972,0.593582532370459,0.819412870349812,0.001,0.00128054298642534
"GSM972184","CMS4",0.59082557500059,0.812878827877634,0.744640862160847,0.53037119727967,0.001,0.00128054298642534
"GSM972185",NA,0.755358151613013,0.657096217683853,0.708830283432739,0.693612402909357,0.906093906093906,0.930760709345101
"GSM972186","CMS4",0.631769725031536,0.740361670795199,0.709701806021333,0.392082168678703,0.001,0.00128054298642534
"GSM972187","CMS4",0.670158244160341,0.742892764486213,0.722299379019199,0.496276082163513,0.001,0.00128054298642534
"GSM972188",NA,0.772784675571417,0.647688147118187,0.68794784170505,0.7296582755711,0.714285714285714,0.73909636980935
"GSM972189",NA,0.688430081412376,0.742361153760336,0.768314857540946,0.782666492666138,0.146853146853147,0.157720837037725
